9x19_left2_right2,9,19,4,84,25,Time: 84.5250000000001 : 
(2,1)|(3,1)|(7,18)|(3,18)|
(3,1)|(4,1)|(7,17)|(3,17)|
(4,1)|(4,2)|(7,16)|(2,17)|
(4,2)|(4,3)|(7,15)|(1,17)|
(4,3)|(4,4)|(7,14)|(1,16)|
(4,4)|(4,5)|(7,13)|(1,15)|
(4,5)|(4,6)|(7,12)|(1,14)|
(4,6)|(4,7)|(7,11)|(1,13)|
(4,7)|(4,8)|(7,10)|(1,12)|
(4,8)|(4,9)|(7,9)|(1,11)|
(4,9)|(4,10)|(7,8)|(1,10)|
(4,10)|(4,11)|(7,7)|(1,9)|
(4,11)|(4,12)|(7,6)|(2,9)|
(4,12)|(4,13)|(7,5)|(3,9)|
(4,13)|(4,14)|(7,4)|(4,9)|
(4,14)|(4,15)|(7,3)|(4,8)|
(4,15)|(4,16)|(7,2)|(4,7)|
(4,16)|(4,17)|(7,1)|(4,6)|
(4,17)|(3,17)|(6,1)|(4,5)|
(4,18)|(3,17)|(6,0)|(4,4)|
(4,18)|(3,17)|(6,0)|(4,3)|
(4,18)|(3,17)|(6,0)|(4,2)|
(4,18)|(3,17)|(6,0)|(4,1)|
(4,18)|(3,17)|(6,0)|(4,0)|
