9x19_left2_right2,9,19,4,84,12,Time: 77.03 : 
(5,1)|(1,1)|(6,17)|(3,18)|
(4,1)|(1,2)|(5,17)|(4,18)|
(4,2)|(1,3)|(4,17)|(4,18)|
(4,3)|(1,4)|(4,16)|(4,17)|
(4,4)|(1,5)|(4,15)|(4,16)|
(4,5)|(1,6)|(4,14)|(4,15)|
(4,6)|(1,7)|(4,13)|(4,14)|
(4,7)|(1,8)|(4,12)|(4,13)|
(4,8)|(1,9)|(4,11)|(4,12)|
(4,9)|(1,10)|(4,10)|(4,11)|
(3,9)|(1,11)|(4,9)|(4,10)|
(2,9)|(1,12)|(4,8)|(4,9)|
(1,9)|(1,13)|(4,7)|(4,8)|
(1,10)|(1,14)|(4,6)|(4,7)|
(1,11)|(1,15)|(4,5)|(4,6)|
(1,12)|(1,16)|(4,4)|(4,5)|
(1,13)|(1,17)|(4,3)|(4,4)|
(1,14)|(1,18)|(4,2)|(4,3)|
(1,15)|(2,18)|(4,1)|(4,2)|
(1,16)|(3,18)|(4,0)|(4,1)|
(1,17)|(4,18)|(4,0)|(3,1)|
(1,18)|(5,18)|(4,0)|(3,0)|
(2,18)|(6,18)|(4,0)|(3,0)|
(2,18)|(7,18)|(4,0)|(3,0)|
(2,18)|(8,18)|(4,0)|(3,0)|
