9x19_left2_right2,9,19,4,84,1,Time: 18.7140000000001 : 
(8,1)|(5,1)|(5,18)|(6,18)|
(7,1)|(4,1)|(4,18)|(5,18)|
(7,2)|(3,1)|(4,17)|(4,18)|
(7,3)|(2,1)|(4,16)|(4,17)|
(7,4)|(1,1)|(4,15)|(4,16)|
(7,5)|(1,2)|(4,14)|(4,15)|
(7,6)|(1,3)|(4,13)|(4,14)|
(7,7)|(1,4)|(4,12)|(4,13)|
(7,8)|(1,5)|(4,11)|(4,12)|
(7,9)|(1,6)|(4,10)|(4,11)|
(7,10)|(1,7)|(4,9)|(4,10)|
(7,11)|(1,8)|(4,8)|(4,9)|
(7,12)|(1,9)|(4,7)|(4,8)|
(7,13)|(1,10)|(4,6)|(4,7)|
(7,14)|(1,11)|(4,5)|(4,6)|
(7,15)|(1,12)|(4,4)|(4,5)|
(7,16)|(1,13)|(4,3)|(4,4)|
(7,17)|(1,14)|(4,2)|(4,3)|
(8,17)|(1,15)|(4,1)|(4,2)|
(8,17)|(1,16)|(4,0)|(4,1)|
(8,17)|(1,17)|(5,0)|(4,0)|
(8,17)|(1,18)|(5,0)|(4,0)|
