9x19_left2_right2,9,19,4,84,6,Time: 4.56799999999998 : 
(6,0)|(3,0)|(1,17)|(0,17)|
(6,1)|(3,1)|(1,16)|(1,17)|
(5,1)|(4,1)|(1,15)|(1,16)|
(4,1)|(4,2)|(1,14)|(1,15)|
(4,2)|(4,3)|(1,13)|(1,14)|
(4,3)|(4,4)|(1,12)|(1,13)|
(4,4)|(4,5)|(1,11)|(1,12)|
(4,5)|(4,6)|(1,10)|(1,11)|
(4,6)|(4,7)|(1,9)|(1,10)|
(4,7)|(4,8)|(1,8)|(1,9)|
(4,8)|(4,9)|(1,7)|(1,8)|
(4,9)|(4,10)|(1,6)|(1,7)|
(4,10)|(4,11)|(1,5)|(1,6)|
(4,11)|(4,12)|(1,4)|(1,5)|
(4,12)|(4,13)|(1,3)|(1,4)|
(4,13)|(4,14)|(1,2)|(1,3)|
(4,14)|(4,15)|(1,1)|(1,2)|
(4,15)|(4,16)|(1,0)|(1,1)|
(4,16)|(4,17)|(2,0)|(1,0)|
(4,17)|(4,18)|(3,0)|(1,0)|
(5,17)|(3,18)|(4,0)|(1,0)|
(5,17)|(3,18)|(5,0)|(1,0)|
(5,17)|(3,18)|(6,0)|(1,0)|
(5,17)|(3,18)|(7,0)|(1,0)|
(5,17)|(3,18)|(8,0)|(1,0)|
