9x19_left2_right2,9,19,10,84,7,Time: 2764.96799999999 : 
(8,0)|(5,1)|(3,1)|(3,0)|(0,0)|(0,17)|(4,17)|(4,18)|(6,17)|(5,18)|
(7,0)|(6,1)|(2,1)|(3,1)|(1,0)|(1,17)|(4,16)|(4,17)|(5,17)|(4,18)|
(7,0)|(7,1)|(1,1)|(2,1)|(1,0)|(2,17)|(4,15)|(4,16)|(4,17)|(4,18)|
(7,1)|(7,2)|(1,2)|(1,1)|(1,0)|(3,17)|(4,14)|(4,15)|(4,16)|(4,17)|
(7,2)|(7,3)|(1,3)|(1,2)|(1,1)|(4,17)|(4,13)|(4,14)|(4,15)|(4,16)|
(7,3)|(7,4)|(1,4)|(1,3)|(1,2)|(4,16)|(4,12)|(4,13)|(4,14)|(4,15)|
(7,4)|(7,5)|(1,5)|(1,4)|(1,3)|(4,15)|(4,11)|(4,12)|(4,13)|(4,14)|
(7,5)|(7,6)|(1,6)|(1,5)|(1,4)|(4,14)|(4,10)|(4,11)|(4,12)|(4,13)|
(7,6)|(7,7)|(1,7)|(1,6)|(1,5)|(4,13)|(4,9)|(4,10)|(4,11)|(4,12)|
(7,7)|(7,8)|(1,8)|(1,7)|(1,6)|(4,12)|(4,8)|(4,9)|(4,10)|(4,11)|
(7,8)|(7,9)|(1,9)|(1,8)|(1,7)|(4,11)|(4,7)|(4,8)|(4,9)|(4,10)|
(7,9)|(7,10)|(1,10)|(1,9)|(1,8)|(4,10)|(4,6)|(4,7)|(4,8)|(4,9)|
(7,10)|(7,11)|(1,11)|(1,10)|(1,9)|(4,9)|(4,5)|(4,6)|(4,7)|(3,9)|
(7,11)|(7,12)|(1,12)|(1,11)|(1,10)|(4,8)|(4,4)|(4,5)|(4,6)|(2,9)|
(7,12)|(7,13)|(1,13)|(1,12)|(1,11)|(4,7)|(4,3)|(4,4)|(4,5)|(1,9)|
(7,13)|(7,14)|(1,14)|(1,13)|(1,12)|(4,6)|(4,2)|(4,3)|(4,4)|(1,8)|
(7,14)|(7,15)|(1,15)|(1,14)|(1,13)|(4,5)|(4,1)|(4,2)|(4,3)|(1,7)|
(7,15)|(7,16)|(1,16)|(1,15)|(1,14)|(4,4)|(4,0)|(4,1)|(4,2)|(1,6)|
(7,16)|(7,17)|(1,17)|(1,16)|(1,15)|(4,3)|(5,0)|(3,1)|(4,1)|(1,5)|
(7,17)|(8,17)|(2,17)|(1,17)|(1,16)|(4,2)|(6,0)|(2,1)|(3,1)|(1,4)|
(6,17)|(8,17)|(3,17)|(1,18)|(1,17)|(4,1)|(6,0)|(1,1)|(3,0)|(1,3)|
(6,17)|(8,17)|(4,17)|(2,18)|(0,17)|(5,1)|(6,0)|(1,0)|(3,0)|(1,2)|
(6,17)|(8,17)|(5,17)|(2,18)|(0,18)|(5,0)|(6,0)|(1,0)|(3,0)|(1,1)|
