9x19_left2_right2,9,19,8,84,10,Time: 29.3610000000044 : 
(8,0)|(3,0)|(0,1)|(3,1)|(2,18)|(2,17)|(8,18)|(4,18)|
(8,1)|(3,1)|(1,1)|(2,1)|(2,17)|(3,17)|(7,18)|(4,17)|
(7,1)|(4,1)|(1,2)|(1,1)|(3,17)|(4,17)|(6,18)|(4,16)|
(7,2)|(5,1)|(1,3)|(1,2)|(4,17)|(4,16)|(5,18)|(4,15)|
(7,3)|(6,1)|(1,4)|(1,3)|(4,16)|(4,15)|(4,18)|(4,14)|
(7,4)|(7,1)|(1,5)|(1,4)|(4,15)|(4,14)|(4,17)|(4,13)|
(7,5)|(7,2)|(1,6)|(1,5)|(4,14)|(4,13)|(4,16)|(4,12)|
(7,6)|(7,3)|(1,7)|(1,6)|(4,13)|(4,12)|(4,15)|(4,11)|
(7,7)|(7,4)|(1,8)|(1,7)|(4,12)|(4,11)|(4,14)|(4,10)|
(7,8)|(7,5)|(1,9)|(1,8)|(4,11)|(4,10)|(4,13)|(4,9)|
(7,9)|(7,6)|(1,10)|(1,9)|(4,10)|(4,9)|(4,12)|(4,8)|
(7,10)|(7,7)|(1,11)|(1,10)|(4,9)|(4,8)|(4,11)|(4,7)|
(7,11)|(7,8)|(1,12)|(1,11)|(4,8)|(4,7)|(4,10)|(4,6)|
(7,12)|(7,9)|(1,13)|(1,12)|(4,7)|(4,6)|(4,9)|(4,5)|
(7,13)|(7,10)|(1,14)|(1,13)|(4,6)|(4,5)|(4,8)|(4,4)|
(7,14)|(7,11)|(1,15)|(1,14)|(4,5)|(4,4)|(4,7)|(4,3)|
(7,15)|(7,12)|(1,16)|(1,15)|(4,4)|(4,3)|(4,6)|(4,2)|
(7,16)|(7,13)|(1,17)|(1,16)|(4,3)|(4,2)|(4,5)|(4,1)|
(7,17)|(7,14)|(0,17)|(1,17)|(4,2)|(4,1)|(4,4)|(5,1)|
(6,17)|(7,15)|(0,17)|(2,17)|(4,1)|(4,0)|(4,3)|(6,1)|
(5,17)|(7,16)|(0,17)|(3,17)|(5,1)|(5,0)|(4,2)|(7,1)|
(5,17)|(7,17)|(0,17)|(3,17)|(5,1)|(6,0)|(4,1)|(8,1)|
(5,17)|(7,18)|(0,17)|(3,17)|(5,1)|(7,0)|(3,1)|(8,1)|
(5,17)|(8,18)|(0,17)|(3,17)|(5,1)|(8,0)|(3,1)|(8,1)|
