9x19_left2_right2,9,19,8,84,22,Time: 1016.561 : 
(1,1)|(0,1)|(1,0)|(2,1)|(1,17)|(6,17)|(6,18)|(4,17)|
(1,2)|(0,1)|(2,0)|(1,1)|(2,17)|(7,17)|(5,18)|(4,16)|
(1,3)|(1,1)|(2,1)|(1,2)|(3,17)|(7,16)|(4,18)|(4,15)|
(1,4)|(1,2)|(1,1)|(1,3)|(3,17)|(7,15)|(4,17)|(4,14)|
(1,5)|(1,3)|(1,2)|(1,4)|(4,17)|(7,14)|(4,16)|(4,13)|
(1,6)|(1,4)|(1,3)|(1,5)|(5,17)|(7,13)|(4,15)|(4,12)|
(1,7)|(1,5)|(1,4)|(1,6)|(6,17)|(7,12)|(4,14)|(4,11)|
(1,8)|(1,6)|(1,5)|(1,7)|(7,17)|(7,11)|(4,13)|(4,10)|
(1,9)|(1,7)|(1,6)|(1,8)|(7,16)|(7,10)|(4,12)|(4,9)|
(1,10)|(1,8)|(1,7)|(1,9)|(7,15)|(7,9)|(4,11)|(4,8)|
(1,11)|(1,9)|(1,8)|(1,10)|(7,14)|(7,8)|(4,10)|(4,7)|
(1,12)|(1,10)|(1,9)|(1,11)|(7,13)|(7,7)|(4,9)|(4,6)|
(1,13)|(1,11)|(2,9)|(1,12)|(7,12)|(7,6)|(4,8)|(4,5)|
(1,14)|(1,12)|(3,9)|(1,13)|(7,11)|(7,5)|(4,7)|(4,4)|
(1,15)|(1,13)|(4,9)|(1,14)|(7,10)|(7,4)|(4,6)|(4,3)|
(1,16)|(1,14)|(4,10)|(1,15)|(7,9)|(7,3)|(4,5)|(4,2)|
(1,17)|(1,15)|(4,11)|(1,16)|(7,8)|(7,2)|(4,4)|(4,1)|
(2,17)|(1,16)|(4,12)|(1,17)|(7,7)|(7,1)|(4,3)|(3,1)|
(3,17)|(1,17)|(4,13)|(1,18)|(7,6)|(6,1)|(4,2)|(3,0)|
(4,17)|(1,17)|(4,14)|(2,18)|(7,5)|(6,1)|(4,1)|(3,0)|
(5,17)|(1,17)|(4,15)|(3,18)|(7,4)|(6,1)|(5,1)|(3,0)|
(6,17)|(1,17)|(4,16)|(4,18)|(7,3)|(6,1)|(5,1)|(3,0)|
(7,17)|(1,17)|(4,17)|(5,18)|(7,2)|(6,1)|(5,1)|(3,0)|
(8,17)|(1,17)|(4,17)|(6,18)|(7,1)|(6,1)|(5,1)|(3,0)|
(8,17)|(1,17)|(4,17)|(6,18)|(7,0)|(6,1)|(5,1)|(3,0)|
