9x19_left2_right2,9,19,12,84,29,Time: 85562.2790000001 : 
(1,0)|(8,1)|(8,0)|(1,1)|(2,1)|(7,0)|(0,18)|(3,17)|(5,18)|(7,18)|(4,18)|(5,17)|
(1,1)|(7,1)|(7,0)|(1,2)|(2,1)|(6,0)|(1,18)|(4,17)|(4,18)|(6,18)|(3,18)|(6,17)|
(1,2)|(7,2)|(7,1)|(1,3)|(1,1)|(5,0)|(1,17)|(4,16)|(4,17)|(5,18)|(3,17)|(7,17)|
(1,3)|(7,3)|(7,2)|(1,4)|(1,2)|(4,0)|(2,17)|(4,15)|(4,16)|(4,18)|(4,17)|(7,16)|
(1,4)|(7,4)|(7,3)|(1,5)|(1,3)|(3,0)|(3,17)|(4,14)|(4,15)|(4,17)|(4,16)|(7,15)|
(1,5)|(7,5)|(7,4)|(1,6)|(1,4)|(2,0)|(4,17)|(4,13)|(4,14)|(4,16)|(4,15)|(7,14)|
(1,6)|(7,6)|(7,5)|(1,7)|(1,5)|(1,0)|(4,16)|(4,12)|(4,13)|(4,15)|(4,14)|(7,13)|
(1,7)|(7,7)|(7,6)|(1,8)|(1,6)|(1,1)|(4,15)|(4,11)|(4,12)|(4,14)|(4,13)|(7,12)|
(1,8)|(7,8)|(7,7)|(1,9)|(1,7)|(1,2)|(4,14)|(4,10)|(4,11)|(4,13)|(4,12)|(7,11)|
(1,9)|(7,9)|(7,8)|(1,10)|(1,8)|(1,3)|(4,13)|(4,9)|(4,10)|(4,12)|(4,11)|(7,10)|
(1,10)|(8,9)|(7,9)|(1,11)|(1,9)|(1,4)|(4,12)|(4,8)|(4,9)|(4,11)|(4,10)|(7,10)|
(1,11)|(8,9)|(6,9)|(1,12)|(1,10)|(1,5)|(4,11)|(4,7)|(4,8)|(4,10)|(4,9)|(7,9)|
(1,12)|(7,9)|(5,9)|(1,13)|(1,11)|(1,6)|(4,10)|(4,6)|(4,7)|(4,9)|(4,8)|(7,8)|
(1,13)|(7,10)|(5,9)|(1,14)|(1,12)|(1,7)|(4,9)|(4,5)|(4,6)|(4,8)|(4,7)|(7,7)|
(1,14)|(7,11)|(4,9)|(1,15)|(1,13)|(1,8)|(4,8)|(4,4)|(4,5)|(4,7)|(4,6)|(7,6)|
(1,15)|(7,12)|(4,10)|(1,16)|(1,14)|(1,9)|(4,7)|(4,3)|(4,4)|(4,6)|(4,5)|(7,5)|
(1,16)|(7,13)|(4,11)|(1,17)|(1,15)|(1,10)|(4,6)|(4,2)|(4,3)|(4,5)|(4,4)|(7,4)|
(1,17)|(7,14)|(4,12)|(2,17)|(1,16)|(1,11)|(4,5)|(4,1)|(4,2)|(4,4)|(4,3)|(7,3)|
(1,18)|(7,15)|(4,13)|(3,17)|(1,17)|(1,12)|(4,4)|(5,1)|(4,1)|(4,3)|(4,2)|(7,2)|
(0,18)|(7,16)|(4,14)|(4,17)|(1,18)|(1,13)|(4,3)|(6,1)|(3,1)|(4,2)|(4,1)|(7,1)|
(0,18)|(7,17)|(4,15)|(5,17)|(2,18)|(1,14)|(4,2)|(6,1)|(2,1)|(4,1)|(5,1)|(7,1)|
(0,18)|(7,18)|(4,16)|(6,17)|(2,18)|(1,15)|(4,1)|(6,1)|(1,1)|(3,1)|(5,1)|(7,1)|
(0,18)|(6,18)|(4,17)|(7,17)|(2,18)|(1,16)|(3,1)|(6,1)|(1,0)|(2,1)|(5,1)|(7,1)|
(0,18)|(5,18)|(5,17)|(7,17)|(2,18)|(1,17)|(2,1)|(6,1)|(1,0)|(1,1)|(5,1)|(7,1)|
(0,18)|(5,18)|(5,17)|(7,17)|(2,18)|(1,17)|(2,1)|(6,1)|(1,0)|(0,1)|(5,1)|(7,1)|
