9x19_left2_right2,9,19,14,84,8,Time: 69725.9260000009 : 
(8,0)|(6,0)|(0,1)|(0,0)|(3,1)|(7,0)|(6,1)|(4,18)|(1,17)|(8,18)|(3,18)|(6,18)|(6,17)|(3,17)|
(7,0)|(6,1)|(1,1)|(0,1)|(4,1)|(7,1)|(5,1)|(3,18)|(1,16)|(7,18)|(3,17)|(5,18)|(5,17)|(2,17)|
(7,0)|(7,1)|(2,1)|(1,1)|(4,2)|(7,2)|(4,1)|(2,18)|(1,15)|(7,17)|(2,17)|(4,18)|(4,17)|(1,17)|
(7,1)|(8,1)|(3,1)|(2,1)|(4,3)|(7,3)|(4,2)|(1,18)|(1,14)|(7,16)|(1,17)|(3,18)|(3,17)|(1,16)|
(7,2)|(7,1)|(4,1)|(3,1)|(4,4)|(7,4)|(4,3)|(1,17)|(1,13)|(7,15)|(1,16)|(2,18)|(2,17)|(1,15)|
(7,3)|(7,2)|(4,2)|(4,1)|(4,5)|(7,5)|(4,4)|(1,16)|(1,12)|(7,14)|(1,15)|(1,18)|(1,17)|(1,14)|
(7,4)|(7,3)|(4,3)|(4,2)|(4,6)|(7,6)|(4,5)|(1,15)|(1,11)|(7,13)|(1,14)|(1,17)|(1,16)|(1,13)|
(7,5)|(7,4)|(4,4)|(4,3)|(4,7)|(7,7)|(4,6)|(1,14)|(1,10)|(7,12)|(1,13)|(1,16)|(1,15)|(1,12)|
(7,6)|(7,5)|(4,5)|(4,4)|(4,8)|(7,8)|(4,7)|(1,13)|(1,9)|(7,11)|(1,12)|(1,15)|(1,14)|(1,11)|
(7,7)|(7,6)|(4,6)|(4,5)|(4,9)|(7,9)|(4,8)|(1,12)|(1,8)|(7,10)|(1,11)|(1,14)|(1,13)|(1,10)|
(7,8)|(7,7)|(4,7)|(4,6)|(4,10)|(6,9)|(4,9)|(1,11)|(1,7)|(7,9)|(1,10)|(1,13)|(1,12)|(1,9)|
(7,9)|(7,8)|(4,8)|(4,7)|(4,11)|(5,9)|(4,10)|(1,10)|(1,6)|(8,9)|(1,9)|(1,12)|(1,11)|(1,8)|
(7,10)|(7,9)|(4,9)|(4,8)|(4,12)|(5,9)|(4,11)|(1,9)|(1,5)|(8,9)|(1,8)|(1,11)|(1,10)|(1,7)|
(7,11)|(7,10)|(4,10)|(4,8)|(4,13)|(4,9)|(4,12)|(1,8)|(1,4)|(7,9)|(1,7)|(1,10)|(1,9)|(1,6)|
(7,12)|(7,11)|(4,11)|(4,9)|(4,14)|(3,9)|(4,13)|(1,7)|(1,3)|(7,8)|(1,6)|(1,9)|(1,8)|(1,5)|
(7,13)|(7,12)|(4,12)|(4,10)|(4,15)|(2,9)|(4,14)|(1,6)|(1,2)|(7,7)|(1,5)|(1,8)|(1,7)|(1,4)|
(7,14)|(7,13)|(4,13)|(4,11)|(4,16)|(1,9)|(4,15)|(1,5)|(1,1)|(7,6)|(1,4)|(1,7)|(1,6)|(1,3)|
(7,15)|(7,14)|(4,14)|(4,12)|(4,17)|(1,10)|(4,16)|(1,4)|(2,1)|(7,5)|(1,3)|(1,6)|(1,5)|(1,2)|
(7,16)|(7,15)|(4,15)|(4,13)|(4,18)|(1,11)|(4,17)|(1,3)|(3,1)|(7,4)|(1,2)|(1,5)|(1,4)|(1,1)|
(7,17)|(7,16)|(4,16)|(4,14)|(5,18)|(1,12)|(3,17)|(1,2)|(4,1)|(7,3)|(1,1)|(1,4)|(1,3)|(1,0)|
(7,18)|(7,17)|(4,17)|(4,15)|(5,18)|(1,13)|(3,17)|(1,1)|(5,1)|(7,2)|(2,1)|(1,3)|(1,2)|(2,0)|
(8,18)|(8,17)|(4,18)|(4,16)|(5,18)|(1,14)|(3,17)|(2,1)|(6,1)|(7,1)|(3,1)|(1,2)|(1,1)|(2,0)|
(8,18)|(8,17)|(4,18)|(4,17)|(5,18)|(1,15)|(3,17)|(2,1)|(6,1)|(7,0)|(4,1)|(1,1)|(0,1)|(2,0)|
(8,18)|(8,17)|(4,18)|(5,17)|(5,18)|(1,16)|(3,17)|(2,1)|(6,1)|(7,0)|(5,1)|(1,1)|(0,1)|(2,0)|
(8,18)|(8,17)|(4,18)|(6,17)|(5,18)|(1,17)|(3,17)|(2,1)|(6,1)|(7,0)|(5,0)|(1,1)|(0,1)|(2,0)|
(8,18)|(8,17)|(4,18)|(6,17)|(5,18)|(2,17)|(3,17)|(2,1)|(6,1)|(7,0)|(6,0)|(1,1)|(0,1)|(2,0)|
