9x19_left2_right2,9,19,6,84,11,Time: 25.1189999999997 : 
(0,1)|(1,0)|(4,0)|(1,18)|(6,17)|(8,18)|
(0,1)|(1,1)|(4,1)|(1,17)|(5,17)|(7,18)|
(1,1)|(2,1)|(4,2)|(1,16)|(4,17)|(7,17)|
(2,1)|(3,1)|(4,3)|(1,15)|(3,17)|(7,16)|
(3,1)|(4,1)|(4,4)|(1,14)|(2,17)|(7,15)|
(4,1)|(4,2)|(4,5)|(1,13)|(1,17)|(7,14)|
(4,2)|(4,3)|(4,6)|(1,12)|(1,16)|(7,13)|
(4,3)|(4,4)|(4,7)|(1,11)|(1,15)|(7,12)|
(4,4)|(4,5)|(4,8)|(1,10)|(1,14)|(7,11)|
(4,5)|(4,6)|(4,9)|(1,9)|(1,13)|(7,10)|
(4,6)|(4,7)|(4,10)|(1,8)|(1,12)|(7,9)|
(4,7)|(4,8)|(4,11)|(1,7)|(1,11)|(7,8)|
(4,8)|(4,9)|(4,12)|(1,6)|(1,10)|(7,7)|
(4,9)|(4,10)|(4,13)|(1,5)|(1,9)|(7,6)|
(4,10)|(4,11)|(4,14)|(1,4)|(1,8)|(7,5)|
(4,11)|(4,12)|(4,15)|(1,3)|(1,7)|(7,4)|
(4,12)|(4,13)|(4,16)|(1,2)|(1,6)|(7,3)|
(4,13)|(4,14)|(4,17)|(1,1)|(1,5)|(7,2)|
(4,14)|(4,15)|(5,17)|(1,0)|(1,4)|(7,1)|
(4,15)|(4,16)|(6,17)|(1,0)|(1,3)|(6,1)|
(4,16)|(4,17)|(7,17)|(1,0)|(1,2)|(5,1)|
(4,17)|(4,18)|(7,17)|(1,0)|(1,1)|(4,1)|
(4,17)|(5,18)|(7,17)|(1,0)|(1,1)|(4,0)|
