9x19_left2_right2,9,19,6,84,10,Time: 1.49499999999989 : 
(6,0)|(3,1)|(5,0)|(6,18)|(1,17)|(2,17)|
(6,1)|(4,1)|(5,1)|(6,17)|(1,16)|(1,17)|
(5,1)|(4,2)|(4,1)|(7,17)|(1,15)|(1,16)|
(4,1)|(4,3)|(4,2)|(7,16)|(1,14)|(1,15)|
(4,2)|(4,4)|(4,3)|(7,15)|(1,13)|(1,14)|
(4,3)|(4,5)|(4,4)|(7,14)|(1,12)|(1,13)|
(4,4)|(4,6)|(4,5)|(7,13)|(1,11)|(1,12)|
(4,5)|(4,7)|(4,6)|(7,12)|(1,10)|(1,11)|
(4,6)|(4,8)|(4,7)|(7,11)|(1,9)|(1,10)|
(4,7)|(4,9)|(4,8)|(7,10)|(1,8)|(1,9)|
(4,8)|(4,10)|(4,9)|(7,9)|(1,7)|(1,8)|
(4,9)|(4,11)|(4,10)|(7,8)|(1,6)|(1,7)|
(4,10)|(4,12)|(4,11)|(7,7)|(1,5)|(1,6)|
(4,11)|(4,13)|(4,12)|(7,6)|(1,4)|(1,5)|
(4,12)|(4,14)|(4,13)|(7,5)|(1,3)|(1,4)|
(4,13)|(4,15)|(4,14)|(7,4)|(1,2)|(1,3)|
(4,14)|(4,16)|(4,15)|(7,3)|(1,1)|(1,2)|
(4,15)|(4,17)|(4,16)|(7,2)|(2,1)|(1,1)|
(4,16)|(4,18)|(4,17)|(7,1)|(3,1)|(0,1)|
(4,17)|(5,18)|(5,17)|(6,1)|(3,1)|(0,0)|
(4,18)|(6,18)|(6,17)|(6,0)|(3,1)|(0,0)|
(4,18)|(7,18)|(6,17)|(6,0)|(3,1)|(0,0)|
