9x19_left2_right2,9,19,6,84,14,Time: 123.342 : 
(6,0)|(8,1)|(1,1)|(1,17)|(7,17)|(2,18)|
(6,1)|(7,1)|(1,2)|(1,17)|(7,16)|(2,17)|
(7,1)|(7,2)|(1,3)|(2,17)|(7,15)|(3,17)|
(7,2)|(7,3)|(1,4)|(3,17)|(7,14)|(4,17)|
(7,3)|(7,4)|(1,5)|(4,17)|(7,13)|(4,16)|
(7,4)|(7,5)|(1,6)|(4,16)|(7,12)|(4,15)|
(7,5)|(7,6)|(1,7)|(4,15)|(7,11)|(4,14)|
(7,6)|(7,7)|(1,8)|(4,14)|(7,10)|(4,13)|
(7,7)|(7,8)|(1,9)|(4,13)|(7,9)|(4,12)|
(7,8)|(7,9)|(1,10)|(4,12)|(6,9)|(4,11)|
(7,9)|(7,10)|(1,11)|(4,11)|(6,9)|(4,10)|
(7,10)|(7,11)|(1,12)|(4,10)|(7,9)|(4,9)|
(7,11)|(7,12)|(1,13)|(4,9)|(7,8)|(4,8)|
(7,12)|(7,13)|(1,14)|(5,9)|(7,7)|(4,7)|
(7,13)|(7,14)|(1,15)|(6,9)|(7,6)|(4,6)|
(7,14)|(7,15)|(1,16)|(7,9)|(7,5)|(4,5)|
(7,15)|(7,16)|(1,17)|(7,8)|(7,4)|(4,4)|
(7,16)|(7,17)|(2,17)|(7,7)|(7,3)|(4,3)|
(7,17)|(7,18)|(3,17)|(7,6)|(7,2)|(4,2)|
(8,17)|(7,17)|(3,17)|(7,5)|(7,1)|(4,1)|
(8,17)|(7,17)|(3,17)|(7,4)|(6,1)|(4,0)|
(8,17)|(7,17)|(3,17)|(7,3)|(6,0)|(5,0)|
(8,17)|(7,17)|(3,17)|(7,2)|(6,0)|(5,0)|
(8,17)|(7,17)|(3,17)|(7,1)|(6,0)|(5,0)|
(8,17)|(7,17)|(3,17)|(8,1)|(6,0)|(5,0)|
(8,17)|(7,17)|(3,17)|(8,0)|(6,0)|(5,0)|
