9x19_left2_right2,9,19,6,84,15,Time: 273.173000000001 : 
(1,1)|(4,1)|(3,1)|(0,18)|(0,17)|(2,17)|
(1,2)|(4,2)|(4,1)|(0,17)|(1,17)|(3,17)|
(1,3)|(4,3)|(4,2)|(1,17)|(1,16)|(2,17)|
(1,4)|(4,4)|(4,3)|(1,16)|(1,15)|(1,17)|
(1,5)|(4,5)|(4,4)|(1,15)|(1,14)|(1,16)|
(1,6)|(4,6)|(4,5)|(1,14)|(1,13)|(1,15)|
(1,7)|(4,7)|(4,6)|(1,13)|(1,12)|(1,14)|
(1,8)|(4,8)|(4,7)|(1,12)|(1,11)|(1,13)|
(1,9)|(4,9)|(4,8)|(1,11)|(1,10)|(1,12)|
(2,9)|(4,10)|(4,9)|(1,10)|(1,9)|(1,11)|
(3,9)|(4,11)|(4,10)|(1,9)|(1,8)|(1,10)|
(4,9)|(4,12)|(4,11)|(1,8)|(1,7)|(1,9)|
(4,10)|(4,13)|(4,12)|(1,7)|(1,6)|(2,9)|
(4,11)|(4,14)|(4,13)|(1,6)|(1,5)|(3,9)|
(4,12)|(4,15)|(4,14)|(1,5)|(1,4)|(4,9)|
(4,13)|(4,16)|(4,15)|(1,4)|(1,3)|(4,8)|
(4,14)|(4,17)|(4,16)|(1,3)|(1,2)|(4,7)|
(4,15)|(4,18)|(4,17)|(1,2)|(1,1)|(4,6)|
(4,16)|(4,18)|(5,17)|(1,1)|(2,1)|(4,5)|
(4,17)|(4,18)|(5,18)|(1,0)|(3,1)|(4,4)|
(3,17)|(4,18)|(5,18)|(2,0)|(4,1)|(4,3)|
(3,18)|(4,18)|(5,18)|(3,0)|(5,1)|(4,2)|
(3,18)|(4,18)|(5,18)|(4,0)|(6,1)|(4,1)|
(3,18)|(4,18)|(5,18)|(5,0)|(6,1)|(4,1)|
