9x19_left2_right2,9,19,6,84,23,Time: 18.9789999999994 : 
(3,1)|(8,0)|(1,0)|(1,17)|(1,18)|(8,17)|
(4,1)|(7,0)|(1,1)|(1,16)|(1,17)|(7,17)|
(4,2)|(6,0)|(2,1)|(1,15)|(1,16)|(6,17)|
(4,3)|(5,0)|(3,1)|(1,14)|(1,15)|(5,17)|
(4,4)|(4,0)|(4,1)|(1,13)|(1,14)|(4,17)|
(4,5)|(4,1)|(4,2)|(1,12)|(1,13)|(3,17)|
(4,6)|(4,2)|(4,3)|(1,11)|(1,12)|(2,17)|
(4,7)|(4,3)|(4,4)|(1,10)|(1,11)|(1,17)|
(4,8)|(4,4)|(4,5)|(1,9)|(1,10)|(1,16)|
(4,9)|(4,5)|(4,6)|(1,8)|(1,9)|(1,15)|
(4,10)|(4,6)|(4,7)|(1,7)|(1,8)|(1,14)|
(4,11)|(4,7)|(4,8)|(1,6)|(1,7)|(1,13)|
(4,12)|(4,8)|(4,9)|(1,5)|(1,6)|(1,12)|
(4,13)|(4,9)|(4,10)|(1,4)|(1,5)|(1,11)|
(4,14)|(4,10)|(4,11)|(1,3)|(1,4)|(1,10)|
(4,15)|(4,11)|(4,12)|(1,2)|(1,3)|(1,9)|
(4,16)|(4,12)|(4,13)|(1,1)|(1,2)|(1,8)|
(4,17)|(4,13)|(4,14)|(1,0)|(1,1)|(1,7)|
(4,18)|(4,14)|(4,15)|(2,0)|(2,1)|(1,6)|
(4,18)|(4,15)|(4,16)|(3,0)|(3,1)|(1,5)|
(4,18)|(4,16)|(4,17)|(4,0)|(4,1)|(1,4)|
(4,18)|(4,17)|(5,17)|(5,0)|(4,1)|(1,3)|
(4,18)|(4,17)|(5,17)|(6,0)|(4,1)|(1,2)|
(4,18)|(4,17)|(5,17)|(7,0)|(4,1)|(1,1)|
(4,18)|(4,17)|(5,17)|(7,0)|(4,1)|(0,1)|
(4,18)|(4,17)|(5,17)|(7,0)|(4,1)|(0,0)|
