9x19_left2_right2,9,19,6,84,28,Time: 181.815000000001 : 
(1,1)|(6,0)|(2,1)|(2,18)|(4,18)|(7,18)|
(1,2)|(6,1)|(1,1)|(1,18)|(4,17)|(7,17)|
(1,3)|(7,1)|(1,2)|(1,17)|(4,16)|(7,16)|
(1,4)|(7,2)|(1,3)|(1,16)|(4,15)|(7,15)|
(1,5)|(7,3)|(1,4)|(1,15)|(4,14)|(7,14)|
(1,6)|(7,4)|(1,5)|(1,14)|(4,13)|(7,13)|
(1,7)|(7,5)|(1,6)|(1,13)|(4,12)|(7,12)|
(1,8)|(7,6)|(1,7)|(1,12)|(4,11)|(7,11)|
(1,9)|(7,7)|(1,8)|(1,11)|(4,10)|(7,10)|
(2,9)|(7,8)|(1,9)|(1,10)|(4,9)|(7,9)|
(3,9)|(7,9)|(0,9)|(1,9)|(4,8)|(7,10)|
(4,9)|(6,9)|(1,9)|(1,8)|(4,7)|(7,9)|
(4,10)|(5,9)|(1,10)|(1,7)|(4,6)|(7,8)|
(4,11)|(4,9)|(1,11)|(1,6)|(4,5)|(7,7)|
(4,12)|(4,10)|(1,12)|(1,5)|(4,4)|(7,6)|
(4,13)|(4,11)|(1,13)|(1,4)|(4,3)|(7,5)|
(4,14)|(4,12)|(1,14)|(1,3)|(4,2)|(7,4)|
(4,15)|(4,13)|(1,15)|(1,2)|(4,1)|(7,3)|
(4,16)|(4,14)|(1,16)|(1,1)|(4,1)|(7,2)|
(4,17)|(4,15)|(1,17)|(0,1)|(4,1)|(7,1)|
(4,18)|(4,16)|(1,17)|(0,0)|(4,1)|(6,1)|
(5,18)|(4,17)|(1,17)|(0,0)|(4,1)|(5,1)|
(6,18)|(3,17)|(1,17)|(0,0)|(4,1)|(5,0)|
(7,18)|(3,17)|(1,17)|(0,0)|(4,1)|(4,0)|
(7,18)|(3,17)|(1,17)|(0,0)|(4,1)|(3,0)|
