9x19_left2_right2,9,19,6,84,6,Time: 44.1110000000003 : 
(3,0)|(6,1)|(0,0)|(5,17)|(2,18)|(4,17)|
(3,1)|(7,1)|(0,1)|(4,17)|(2,17)|(4,16)|
(2,1)|(7,2)|(1,1)|(4,16)|(3,17)|(4,15)|
(1,1)|(7,3)|(1,2)|(4,15)|(4,17)|(4,14)|
(1,2)|(7,4)|(1,3)|(4,14)|(4,16)|(4,13)|
(1,3)|(7,5)|(1,4)|(4,13)|(4,15)|(4,12)|
(1,4)|(7,6)|(1,5)|(4,12)|(4,14)|(4,11)|
(1,5)|(7,7)|(1,6)|(4,11)|(4,13)|(4,10)|
(1,6)|(7,8)|(1,7)|(4,10)|(4,12)|(4,9)|
(1,7)|(7,9)|(1,8)|(4,9)|(4,11)|(4,8)|
(1,8)|(7,10)|(1,9)|(4,8)|(4,10)|(4,7)|
(1,9)|(7,11)|(1,10)|(4,7)|(4,9)|(4,6)|
(1,10)|(7,12)|(1,11)|(4,6)|(4,8)|(4,5)|
(1,11)|(7,13)|(1,12)|(4,5)|(4,7)|(4,4)|
(1,12)|(7,14)|(1,13)|(4,4)|(4,6)|(4,3)|
(1,13)|(7,15)|(1,14)|(4,3)|(4,5)|(4,2)|
(1,14)|(7,16)|(1,15)|(4,2)|(4,4)|(4,1)|
(1,15)|(7,17)|(1,16)|(4,1)|(4,3)|(3,1)|
(1,16)|(6,17)|(1,17)|(3,1)|(4,2)|(2,1)|
(1,17)|(5,17)|(2,17)|(2,1)|(4,1)|(1,1)|
(2,17)|(5,18)|(3,17)|(2,0)|(5,1)|(0,1)|
(2,17)|(5,18)|(4,17)|(2,0)|(5,1)|(0,0)|
(2,17)|(5,18)|(5,17)|(2,0)|(5,1)|(0,0)|
