9x19_left2_right2,9,19,6,84,13,Time: 377.118 : 
(2,0)|(0,0)|(6,0)|(7,17)|(2,18)|(6,18)|
(2,1)|(0,1)|(6,1)|(7,16)|(2,17)|(7,18)|
(3,1)|(1,1)|(5,1)|(7,15)|(1,17)|(7,17)|
(3,1)|(1,2)|(4,1)|(7,14)|(1,16)|(7,16)|
(4,1)|(1,3)|(4,2)|(7,13)|(1,15)|(7,15)|
(4,2)|(1,4)|(4,3)|(7,12)|(1,14)|(7,14)|
(4,3)|(1,5)|(4,4)|(7,11)|(1,13)|(7,13)|
(4,4)|(1,6)|(4,5)|(7,10)|(1,12)|(7,12)|
(4,5)|(1,7)|(4,6)|(7,9)|(1,11)|(7,11)|
(4,6)|(1,8)|(4,7)|(7,8)|(1,10)|(7,10)|
(4,7)|(1,8)|(4,8)|(7,7)|(1,9)|(7,9)|
(4,8)|(1,9)|(4,9)|(7,6)|(2,9)|(7,8)|
(4,9)|(1,10)|(4,10)|(7,5)|(3,9)|(7,7)|
(4,10)|(1,11)|(4,11)|(7,4)|(4,9)|(7,6)|
(4,11)|(1,12)|(4,12)|(7,3)|(4,8)|(7,5)|
(4,12)|(1,13)|(4,13)|(7,2)|(4,7)|(7,4)|
(4,13)|(1,14)|(4,14)|(7,1)|(4,6)|(7,3)|
(4,14)|(1,15)|(4,15)|(6,1)|(4,5)|(7,2)|
(4,15)|(1,16)|(4,16)|(5,1)|(4,4)|(7,1)|
(4,16)|(1,17)|(4,17)|(4,1)|(4,3)|(6,1)|
(4,17)|(1,18)|(3,17)|(3,1)|(4,2)|(5,1)|
(4,17)|(2,18)|(3,17)|(3,0)|(4,1)|(5,0)|
(4,17)|(3,18)|(3,17)|(3,0)|(5,1)|(4,0)|
(4,17)|(4,18)|(3,17)|(3,0)|(5,1)|(4,0)|
(4,17)|(5,18)|(3,17)|(3,0)|(5,1)|(4,0)|
(4,17)|(6,18)|(3,17)|(3,0)|(5,1)|(4,0)|
