9x19_left2_right2,9,19,6,84,29,Time: 16.0699999999997 : 
(8,1)|(0,1)|(0,0)|(5,17)|(4,18)|(6,18)|
(7,1)|(1,1)|(0,1)|(5,17)|(4,17)|(5,18)|
(7,2)|(1,2)|(1,1)|(4,17)|(4,16)|(4,18)|
(7,3)|(1,3)|(1,2)|(4,16)|(4,15)|(4,17)|
(7,4)|(1,4)|(1,3)|(4,15)|(4,14)|(4,16)|
(7,5)|(1,5)|(1,4)|(4,14)|(4,13)|(4,15)|
(7,6)|(1,6)|(1,5)|(4,13)|(4,12)|(4,14)|
(7,7)|(1,7)|(1,6)|(4,12)|(4,11)|(4,13)|
(7,8)|(1,8)|(1,7)|(4,11)|(4,10)|(4,12)|
(7,9)|(1,9)|(1,8)|(4,10)|(4,9)|(4,11)|
(7,10)|(1,10)|(1,9)|(4,9)|(3,9)|(4,10)|
(7,11)|(1,11)|(1,10)|(4,8)|(2,9)|(4,9)|
(7,12)|(1,12)|(1,11)|(4,7)|(1,9)|(4,8)|
(7,13)|(1,13)|(1,12)|(4,6)|(1,8)|(4,7)|
(7,14)|(1,14)|(1,13)|(4,5)|(1,7)|(4,6)|
(7,15)|(1,15)|(1,14)|(4,4)|(1,6)|(4,5)|
(7,16)|(1,16)|(1,15)|(4,3)|(1,5)|(4,4)|
(7,17)|(1,17)|(1,16)|(4,2)|(1,4)|(4,3)|
(6,17)|(1,18)|(1,17)|(4,1)|(1,3)|(4,2)|
(5,17)|(2,18)|(1,18)|(3,1)|(1,2)|(4,1)|
(4,17)|(3,18)|(1,18)|(2,1)|(1,1)|(3,1)|
(3,17)|(4,18)|(1,18)|(2,1)|(0,1)|(3,0)|
(2,17)|(5,18)|(1,18)|(2,1)|(0,1)|(3,0)|
(1,17)|(6,18)|(1,18)|(2,1)|(0,1)|(3,0)|
(1,17)|(7,18)|(1,18)|(2,1)|(0,1)|(3,0)|
(1,17)|(8,18)|(1,18)|(2,1)|(0,1)|(3,0)|
