9x19_left2_right2,9,19,6,84,16,Time: 7.78099999999995 : 
(5,1)|(0,0)|(3,0)|(3,17)|(8,17)|(4,17)|
(4,1)|(0,1)|(3,1)|(2,17)|(7,17)|(5,17)|
(4,2)|(1,1)|(4,1)|(1,17)|(7,16)|(6,17)|
(4,3)|(2,1)|(4,2)|(1,16)|(7,15)|(7,17)|
(4,4)|(3,1)|(4,3)|(1,15)|(7,14)|(7,16)|
(4,5)|(4,1)|(4,4)|(1,14)|(7,13)|(7,15)|
(4,6)|(4,2)|(4,5)|(1,13)|(7,12)|(7,14)|
(4,7)|(4,3)|(4,6)|(1,12)|(7,11)|(7,13)|
(4,8)|(4,4)|(4,7)|(1,11)|(7,10)|(7,12)|
(4,9)|(4,5)|(4,8)|(1,10)|(7,9)|(7,11)|
(4,10)|(4,6)|(4,9)|(1,9)|(7,8)|(7,10)|
(4,11)|(4,7)|(4,10)|(1,8)|(7,7)|(7,9)|
(4,12)|(4,8)|(4,11)|(1,7)|(7,6)|(7,8)|
(4,13)|(4,9)|(4,12)|(1,6)|(7,5)|(7,7)|
(4,14)|(5,9)|(4,13)|(1,5)|(7,4)|(7,6)|
(4,15)|(6,9)|(4,14)|(1,4)|(7,3)|(7,5)|
(4,16)|(7,9)|(4,15)|(1,3)|(7,2)|(7,4)|
(4,17)|(7,10)|(4,16)|(1,2)|(7,1)|(7,3)|
(4,18)|(7,11)|(4,17)|(1,1)|(7,0)|(7,2)|
(3,18)|(7,12)|(5,17)|(1,0)|(8,0)|(7,1)|
(2,18)|(7,13)|(5,17)|(2,0)|(8,0)|(7,1)|
(1,18)|(7,14)|(5,17)|(2,0)|(8,0)|(7,1)|
(1,18)|(7,15)|(5,17)|(2,0)|(8,0)|(7,1)|
(1,18)|(7,16)|(5,17)|(2,0)|(8,0)|(7,1)|
(1,18)|(7,17)|(5,17)|(2,0)|(8,0)|(7,1)|
(1,18)|(8,17)|(5,17)|(2,0)|(8,0)|(7,1)|
