9x19_left2_right2,9,19,6,84,7,Time: 3303.736 : 
(1,0)|(5,1)|(2,0)|(8,18)|(1,18)|(6,18)|
(1,1)|(4,1)|(2,1)|(7,18)|(1,17)|(6,17)|
(1,2)|(4,2)|(3,1)|(7,17)|(1,16)|(6,17)|
(1,3)|(4,3)|(4,1)|(7,16)|(1,15)|(7,17)|
(1,4)|(4,4)|(4,2)|(7,15)|(1,14)|(7,16)|
(1,5)|(4,5)|(4,3)|(7,14)|(1,13)|(7,15)|
(1,6)|(4,6)|(4,4)|(7,13)|(1,12)|(7,14)|
(1,7)|(4,7)|(4,5)|(7,12)|(1,11)|(7,13)|
(1,8)|(4,8)|(4,6)|(7,11)|(1,10)|(7,12)|
(1,8)|(4,9)|(4,7)|(7,10)|(1,9)|(7,11)|
(1,9)|(4,10)|(4,8)|(7,9)|(2,9)|(7,10)|
(1,10)|(4,11)|(4,9)|(7,8)|(3,9)|(7,9)|
(1,11)|(4,12)|(4,10)|(7,7)|(4,9)|(6,9)|
(1,12)|(4,13)|(4,11)|(7,6)|(4,8)|(5,9)|
(1,13)|(4,14)|(4,12)|(7,5)|(4,7)|(4,9)|
(1,14)|(4,15)|(4,13)|(7,4)|(4,6)|(4,8)|
(1,15)|(4,16)|(4,14)|(7,3)|(4,5)|(4,7)|
(1,16)|(4,17)|(4,15)|(7,2)|(4,4)|(4,6)|
(1,17)|(4,17)|(4,16)|(7,1)|(4,3)|(4,5)|
(0,17)|(5,17)|(4,17)|(7,1)|(4,2)|(4,4)|
(0,17)|(4,17)|(4,18)|(7,1)|(4,1)|(4,3)|
(0,17)|(4,17)|(4,18)|(7,1)|(5,1)|(4,2)|
(0,17)|(4,17)|(4,18)|(7,1)|(6,1)|(4,1)|
(0,17)|(4,17)|(4,18)|(7,1)|(6,0)|(4,1)|
(0,17)|(4,17)|(4,18)|(7,1)|(7,0)|(4,1)|
(0,17)|(4,17)|(4,18)|(7,1)|(8,0)|(4,1)|
(0,17)|(4,17)|(4,18)|(7,1)|(8,1)|(4,1)|
