9x19_left2_right2,9,19,6,84,17,Time: 32.415 : 
(0,1)|(4,0)|(3,1)|(5,17)|(2,17)|(2,18)|
(1,1)|(3,0)|(4,1)|(6,17)|(3,17)|(3,18)|
(1,2)|(2,0)|(4,2)|(7,17)|(4,17)|(4,18)|
(1,3)|(1,0)|(4,3)|(7,16)|(4,16)|(5,18)|
(1,4)|(1,1)|(4,4)|(7,15)|(4,15)|(6,18)|
(1,5)|(1,2)|(4,5)|(7,14)|(4,14)|(7,18)|
(1,6)|(1,3)|(4,6)|(7,13)|(4,13)|(7,17)|
(1,7)|(1,4)|(4,7)|(7,12)|(4,12)|(7,16)|
(1,8)|(1,5)|(4,8)|(7,11)|(4,11)|(7,15)|
(1,9)|(1,6)|(4,9)|(7,10)|(4,10)|(7,14)|
(1,10)|(1,7)|(5,9)|(7,9)|(4,9)|(7,13)|
(1,11)|(1,8)|(4,9)|(7,8)|(4,8)|(7,12)|
(1,12)|(1,9)|(4,10)|(7,7)|(4,7)|(7,11)|
(1,13)|(1,10)|(4,11)|(7,6)|(4,6)|(7,10)|
(1,14)|(1,11)|(4,12)|(7,5)|(4,5)|(7,9)|
(1,15)|(1,12)|(4,13)|(7,4)|(4,4)|(7,8)|
(1,16)|(1,13)|(4,14)|(7,3)|(4,3)|(7,7)|
(1,17)|(1,14)|(4,15)|(7,2)|(4,2)|(7,6)|
(0,17)|(1,15)|(4,16)|(7,1)|(4,1)|(7,5)|
(0,17)|(1,16)|(4,17)|(6,1)|(5,1)|(7,4)|
(0,17)|(1,17)|(5,17)|(6,0)|(6,1)|(7,3)|
(0,17)|(1,18)|(5,17)|(6,0)|(6,1)|(7,2)|
(0,17)|(1,18)|(5,17)|(6,0)|(6,1)|(7,1)|
(0,17)|(1,18)|(5,17)|(6,0)|(6,1)|(8,1)|
(0,17)|(1,18)|(5,17)|(6,0)|(6,1)|(8,0)|
