9x19_left2_right2,9,19,6,84,2,Time: 31.6759999999999 : 
(8,0)|(6,0)|(8,1)|(1,17)|(8,17)|(0,18)|
(8,1)|(6,1)|(7,1)|(1,16)|(7,17)|(0,17)|
(7,1)|(5,1)|(6,1)|(1,15)|(7,16)|(1,17)|
(7,2)|(4,1)|(5,1)|(1,14)|(7,15)|(1,16)|
(7,3)|(4,2)|(4,1)|(1,13)|(7,14)|(1,15)|
(7,4)|(4,3)|(4,2)|(1,12)|(7,13)|(1,14)|
(7,5)|(4,4)|(4,3)|(1,11)|(7,12)|(1,13)|
(7,6)|(4,5)|(4,4)|(1,10)|(7,11)|(1,12)|
(7,7)|(4,6)|(4,5)|(1,9)|(7,10)|(1,11)|
(7,8)|(4,7)|(4,6)|(1,8)|(7,9)|(1,10)|
(7,9)|(4,8)|(4,7)|(1,7)|(6,9)|(1,9)|
(7,10)|(4,9)|(4,8)|(1,6)|(7,9)|(1,8)|
(7,11)|(4,10)|(4,9)|(1,5)|(7,8)|(1,7)|
(7,12)|(4,11)|(4,10)|(1,4)|(7,7)|(1,6)|
(7,13)|(4,12)|(4,11)|(1,3)|(7,6)|(1,5)|
(7,14)|(4,13)|(4,12)|(1,2)|(7,5)|(1,4)|
(7,15)|(4,14)|(4,13)|(1,1)|(7,4)|(1,3)|
(7,16)|(4,15)|(4,14)|(1,0)|(7,3)|(1,2)|
(7,17)|(4,16)|(4,15)|(1,0)|(7,2)|(1,1)|
(7,18)|(4,17)|(4,16)|(1,0)|(7,1)|(2,1)|
(8,18)|(3,17)|(4,17)|(1,0)|(7,0)|(3,1)|
(8,18)|(2,17)|(4,18)|(1,0)|(7,0)|(4,1)|
(8,18)|(1,17)|(4,18)|(1,0)|(7,0)|(5,1)|
(8,18)|(0,17)|(4,18)|(1,0)|(7,0)|(6,1)|
(8,18)|(0,17)|(4,18)|(1,0)|(7,0)|(7,1)|
(8,18)|(0,17)|(4,18)|(1,0)|(7,0)|(8,1)|
