9x19_left2_right2,9,19,6,84,12,Time: 109.045999999999 : 
(2,0)|(7,0)|(7,1)|(4,17)|(6,17)|(5,17)|
(2,1)|(6,0)|(7,2)|(4,16)|(7,17)|(4,17)|
(1,1)|(5,0)|(7,3)|(4,15)|(7,16)|(4,16)|
(1,2)|(4,0)|(7,4)|(4,14)|(7,15)|(4,15)|
(1,3)|(3,0)|(7,5)|(4,13)|(7,14)|(4,14)|
(1,4)|(2,0)|(7,6)|(4,12)|(7,13)|(4,13)|
(1,5)|(1,0)|(7,7)|(4,11)|(7,12)|(4,12)|
(1,6)|(1,1)|(7,8)|(4,10)|(7,11)|(4,11)|
(1,7)|(1,2)|(7,9)|(4,9)|(7,10)|(4,10)|
(1,8)|(1,3)|(8,9)|(4,8)|(7,9)|(4,9)|
(1,9)|(1,4)|(7,9)|(4,7)|(7,8)|(4,8)|
(1,10)|(1,5)|(7,10)|(4,6)|(7,7)|(4,7)|
(1,11)|(1,6)|(7,11)|(4,5)|(7,6)|(4,6)|
(1,12)|(1,7)|(7,12)|(4,4)|(7,5)|(4,5)|
(1,13)|(1,8)|(7,13)|(4,3)|(7,4)|(4,4)|
(1,14)|(1,9)|(7,14)|(4,2)|(7,3)|(4,3)|
(1,15)|(1,10)|(7,15)|(4,1)|(7,2)|(4,2)|
(1,16)|(1,11)|(7,16)|(4,0)|(7,1)|(4,1)|
(1,17)|(1,12)|(7,17)|(5,0)|(7,0)|(3,1)|
(2,17)|(1,13)|(7,18)|(5,0)|(7,0)|(3,1)|
(3,17)|(1,14)|(7,18)|(5,0)|(7,0)|(3,1)|
(4,17)|(1,15)|(7,18)|(5,0)|(7,0)|(3,1)|
(5,17)|(1,16)|(7,18)|(5,0)|(7,0)|(3,1)|
(6,17)|(1,17)|(7,18)|(5,0)|(7,0)|(3,1)|
(7,17)|(0,17)|(7,18)|(5,0)|(7,0)|(3,1)|
(7,17)|(0,18)|(7,18)|(5,0)|(7,0)|(3,1)|
