9x19_left2_right2,9,19,6,84,0,Time: 389.82 : 
(2,1)|(4,0)|(3,1)|(7,17)|(3,17)|(6,18)|
(1,1)|(3,0)|(2,1)|(7,16)|(4,17)|(6,17)|
(1,2)|(2,0)|(1,1)|(7,15)|(4,16)|(7,17)|
(1,3)|(1,0)|(1,2)|(7,14)|(4,15)|(7,16)|
(1,4)|(1,1)|(1,3)|(7,13)|(4,14)|(7,15)|
(1,5)|(1,2)|(1,4)|(7,12)|(4,13)|(7,14)|
(1,6)|(1,3)|(1,5)|(7,11)|(4,12)|(7,13)|
(1,7)|(1,4)|(1,6)|(7,10)|(4,11)|(7,12)|
(1,8)|(1,5)|(1,7)|(7,9)|(4,10)|(7,11)|
(1,9)|(1,6)|(1,8)|(7,8)|(4,9)|(7,10)|
(1,10)|(1,7)|(1,9)|(7,7)|(4,8)|(7,9)|
(1,11)|(1,8)|(1,10)|(7,6)|(4,7)|(7,8)|
(1,12)|(1,9)|(1,11)|(7,5)|(4,6)|(7,7)|
(1,13)|(1,10)|(1,12)|(7,4)|(4,5)|(7,6)|
(1,14)|(1,11)|(1,13)|(7,3)|(4,4)|(7,5)|
(1,15)|(1,12)|(1,14)|(7,2)|(4,3)|(7,4)|
(1,16)|(1,13)|(1,15)|(7,1)|(4,2)|(7,3)|
(1,17)|(1,14)|(1,16)|(6,1)|(4,1)|(7,2)|
(2,17)|(1,15)|(1,17)|(5,1)|(4,1)|(7,1)|
(3,17)|(1,16)|(2,17)|(5,0)|(4,1)|(7,0)|
(4,17)|(1,17)|(3,17)|(4,0)|(4,1)|(8,0)|
(5,17)|(1,18)|(3,17)|(3,0)|(4,1)|(8,0)|
(6,17)|(2,18)|(3,17)|(3,0)|(4,1)|(8,0)|
(7,17)|(2,18)|(3,17)|(3,0)|(4,1)|(8,0)|
