9x19_left2_right2,9,19,6,84,9,Time: 79.3310000000001 : 
(8,1)|(4,1)|(3,1)|(1,18)|(5,17)|(7,17)|
(7,1)|(4,2)|(2,1)|(1,17)|(4,17)|(7,16)|
(7,2)|(4,3)|(1,1)|(1,16)|(4,16)|(7,15)|
(7,3)|(4,4)|(1,2)|(1,15)|(4,15)|(7,14)|
(7,4)|(4,5)|(1,3)|(1,14)|(4,14)|(7,13)|
(7,5)|(4,6)|(1,4)|(1,13)|(4,13)|(7,12)|
(7,6)|(4,7)|(1,5)|(1,12)|(4,12)|(7,11)|
(7,7)|(4,8)|(1,6)|(1,11)|(4,11)|(7,10)|
(7,8)|(4,9)|(1,7)|(1,10)|(4,10)|(7,9)|
(7,9)|(5,9)|(1,8)|(1,9)|(4,9)|(8,9)|
(7,10)|(4,9)|(1,9)|(2,9)|(4,8)|(7,9)|
(7,11)|(4,10)|(1,10)|(3,9)|(4,7)|(7,8)|
(7,12)|(4,11)|(1,11)|(4,9)|(4,6)|(7,7)|
(7,13)|(4,12)|(1,12)|(4,8)|(4,5)|(7,6)|
(7,14)|(4,13)|(1,13)|(4,7)|(4,4)|(7,5)|
(7,15)|(4,14)|(1,14)|(4,6)|(4,3)|(7,4)|
(7,16)|(4,15)|(1,15)|(4,5)|(4,2)|(7,3)|
(7,17)|(4,16)|(1,16)|(4,4)|(4,1)|(7,2)|
(6,17)|(4,17)|(1,17)|(4,3)|(5,1)|(7,1)|
(6,17)|(5,17)|(0,17)|(4,2)|(6,1)|(7,0)|
(6,17)|(5,17)|(0,17)|(4,1)|(6,1)|(7,0)|
