9x19_left2_right2,9,19,6,84,21,Time: 27.2250000000004 : 
(5,0)|(4,1)|(6,0)|(5,17)|(7,17)|(2,18)|
(4,0)|(5,1)|(6,1)|(4,17)|(7,16)|(3,18)|
(4,1)|(6,1)|(7,1)|(3,17)|(7,15)|(4,18)|
(4,2)|(7,1)|(7,2)|(2,17)|(7,14)|(4,17)|
(4,3)|(7,2)|(7,3)|(1,17)|(7,13)|(4,16)|
(4,4)|(7,3)|(7,4)|(1,16)|(7,12)|(4,15)|
(4,5)|(7,4)|(7,5)|(1,15)|(7,11)|(4,14)|
(4,6)|(7,5)|(7,6)|(1,14)|(7,10)|(4,13)|
(4,7)|(7,6)|(7,7)|(1,13)|(7,9)|(4,12)|
(4,8)|(7,7)|(7,8)|(1,12)|(6,9)|(4,11)|
(4,9)|(7,8)|(7,9)|(1,11)|(5,9)|(4,10)|
(3,9)|(7,9)|(7,10)|(1,10)|(4,9)|(4,10)|
(2,9)|(7,10)|(7,11)|(1,9)|(3,9)|(4,9)|
(1,9)|(7,11)|(7,12)|(1,8)|(2,9)|(4,8)|
(1,10)|(7,12)|(7,13)|(1,7)|(1,9)|(4,7)|
(1,11)|(7,13)|(7,14)|(1,6)|(1,8)|(4,6)|
(1,12)|(7,14)|(7,15)|(1,5)|(1,7)|(4,5)|
(1,13)|(7,15)|(7,16)|(1,4)|(1,6)|(4,4)|
(1,14)|(7,16)|(7,17)|(1,3)|(1,5)|(4,3)|
(1,15)|(7,17)|(7,18)|(1,2)|(1,4)|(4,2)|
(1,16)|(7,18)|(8,18)|(1,1)|(1,3)|(4,1)|
(1,17)|(7,18)|(8,18)|(0,1)|(1,2)|(5,1)|
(0,17)|(7,18)|(8,18)|(0,1)|(1,1)|(5,1)|
(0,18)|(7,18)|(8,18)|(0,1)|(1,1)|(5,1)|
