9x19_left2_right2,9,19,6,84,24,Time: 89.610999999999 : 
(1,0)|(1,1)|(2,0)|(1,18)|(3,17)|(2,17)|
(1,1)|(1,2)|(2,1)|(2,18)|(4,17)|(3,17)|
(2,1)|(1,3)|(3,1)|(3,18)|(4,16)|(4,17)|
(3,1)|(1,4)|(4,1)|(4,18)|(4,15)|(4,16)|
(4,1)|(1,5)|(5,1)|(4,17)|(4,14)|(4,15)|
(5,1)|(1,6)|(6,1)|(4,16)|(4,13)|(4,14)|
(6,1)|(1,7)|(7,1)|(4,15)|(4,12)|(4,13)|
(7,1)|(1,8)|(7,2)|(4,14)|(4,11)|(4,12)|
(7,2)|(1,9)|(7,3)|(4,13)|(4,10)|(4,11)|
(7,3)|(1,10)|(7,4)|(4,12)|(4,9)|(4,10)|
(7,4)|(1,11)|(7,5)|(4,11)|(4,8)|(4,9)|
(7,5)|(1,12)|(7,6)|(4,10)|(4,7)|(4,8)|
(7,6)|(1,13)|(7,7)|(4,9)|(4,6)|(4,7)|
(7,7)|(1,14)|(7,8)|(4,8)|(4,5)|(4,6)|
(7,8)|(1,15)|(7,9)|(4,7)|(4,4)|(4,5)|
(7,9)|(1,16)|(7,10)|(4,6)|(4,3)|(4,4)|
(7,10)|(1,17)|(7,11)|(4,5)|(4,2)|(4,3)|
(7,11)|(1,17)|(7,12)|(4,4)|(4,1)|(4,2)|
(7,12)|(1,17)|(7,13)|(4,3)|(4,0)|(4,1)|
(7,13)|(1,17)|(7,14)|(4,2)|(5,0)|(5,1)|
(7,14)|(1,17)|(7,15)|(4,1)|(6,0)|(6,1)|
(7,15)|(1,17)|(7,16)|(5,1)|(7,0)|(7,1)|
(7,16)|(1,17)|(7,17)|(6,1)|(7,0)|(7,1)|
(7,17)|(1,17)|(6,17)|(6,0)|(7,0)|(7,1)|
