9x19_left2_right2,9,19,6,84,18,Time: 36.7440000000006 : 
(2,1)|(0,0)|(8,1)|(8,17)|(3,18)|(6,17)|
(1,1)|(0,1)|(7,1)|(7,17)|(3,17)|(5,17)|
(1,2)|(1,1)|(7,2)|(6,17)|(4,17)|(5,17)|
(1,3)|(1,2)|(7,3)|(5,17)|(4,16)|(4,17)|
(1,4)|(1,3)|(7,4)|(4,17)|(4,15)|(4,16)|
(1,5)|(1,4)|(7,5)|(3,17)|(4,14)|(4,15)|
(1,6)|(1,5)|(7,6)|(2,17)|(4,13)|(4,14)|
(1,7)|(1,6)|(7,7)|(1,17)|(4,12)|(4,13)|
(1,8)|(1,7)|(7,8)|(1,16)|(4,11)|(4,12)|
(1,9)|(1,8)|(7,9)|(1,15)|(4,10)|(4,11)|
(2,9)|(1,9)|(7,10)|(1,14)|(4,9)|(4,10)|
(3,9)|(2,9)|(7,11)|(1,13)|(4,8)|(4,9)|
(4,9)|(3,9)|(7,12)|(1,12)|(4,7)|(4,8)|
(4,10)|(4,9)|(7,13)|(1,11)|(4,6)|(4,7)|
(4,11)|(5,9)|(7,14)|(1,10)|(4,5)|(4,6)|
(4,12)|(6,9)|(7,15)|(1,9)|(4,4)|(4,5)|
(4,13)|(7,9)|(7,16)|(1,8)|(4,3)|(4,4)|
(4,14)|(7,10)|(7,17)|(1,7)|(4,2)|(4,3)|
(4,15)|(7,11)|(7,18)|(1,6)|(4,1)|(4,2)|
(4,16)|(7,12)|(8,18)|(1,5)|(5,1)|(4,1)|
(4,17)|(7,13)|(8,18)|(1,4)|(6,1)|(3,1)|
(4,17)|(7,14)|(8,18)|(1,3)|(7,1)|(2,1)|
(4,17)|(7,15)|(8,18)|(1,2)|(7,1)|(2,0)|
(4,17)|(7,16)|(8,18)|(1,1)|(7,1)|(2,0)|
(4,17)|(7,17)|(8,18)|(1,0)|(7,1)|(2,0)|
