9x19_left2_right2,9,19,6,84,4,Time: 71.8809999999999 : 
(0,1)|(0,0)|(8,0)|(4,17)|(0,17)|(2,18)|
(1,1)|(0,1)|(8,1)|(4,16)|(1,17)|(1,18)|
(2,1)|(1,1)|(7,1)|(4,15)|(2,17)|(1,17)|
(3,1)|(1,2)|(7,2)|(4,14)|(3,17)|(1,16)|
(4,1)|(1,3)|(7,3)|(4,13)|(4,17)|(1,15)|
(5,1)|(1,4)|(7,4)|(4,12)|(4,16)|(1,14)|
(6,1)|(1,5)|(7,5)|(4,11)|(4,15)|(1,13)|
(7,1)|(1,6)|(7,6)|(4,10)|(4,14)|(1,12)|
(7,2)|(1,7)|(7,7)|(4,9)|(4,13)|(1,11)|
(7,3)|(1,8)|(7,8)|(4,8)|(4,12)|(1,10)|
(7,4)|(1,9)|(7,9)|(4,7)|(4,11)|(1,10)|
(7,5)|(2,9)|(7,10)|(4,6)|(4,10)|(1,9)|
(7,6)|(1,9)|(7,11)|(4,5)|(4,9)|(1,8)|
(7,7)|(1,10)|(7,12)|(4,4)|(4,8)|(1,7)|
(7,8)|(1,11)|(7,13)|(4,3)|(4,7)|(1,6)|
(7,9)|(1,12)|(7,14)|(4,2)|(4,6)|(1,5)|
(7,10)|(1,13)|(7,15)|(4,1)|(4,5)|(1,4)|
(7,11)|(1,14)|(7,16)|(5,1)|(4,4)|(1,3)|
(7,12)|(1,15)|(7,17)|(6,1)|(4,3)|(1,2)|
(7,13)|(1,16)|(6,17)|(6,1)|(4,2)|(1,1)|
(7,14)|(1,17)|(5,17)|(6,1)|(4,1)|(0,1)|
(7,15)|(1,18)|(4,17)|(6,1)|(5,1)|(0,0)|
(7,16)|(2,18)|(3,17)|(6,1)|(5,0)|(0,0)|
(7,17)|(2,18)|(3,17)|(6,1)|(5,0)|(0,0)|
(8,17)|(2,18)|(3,17)|(6,1)|(5,0)|(0,0)|
