9x19_left2_right2,9,19,6,84,19,Time: 30.7399999999998 : 
(3,1)|(8,0)|(0,1)|(1,17)|(4,18)|(1,18)|
(2,1)|(8,1)|(1,1)|(1,16)|(4,17)|(2,18)|
(1,1)|(7,1)|(1,2)|(1,15)|(4,16)|(3,18)|
(1,2)|(7,2)|(1,3)|(1,14)|(4,15)|(4,18)|
(1,3)|(7,3)|(1,4)|(1,13)|(4,14)|(4,17)|
(1,4)|(7,4)|(1,5)|(1,12)|(4,13)|(4,16)|
(1,5)|(7,5)|(1,6)|(1,11)|(4,12)|(4,15)|
(1,6)|(7,6)|(1,7)|(1,10)|(4,11)|(4,14)|
(1,7)|(7,7)|(1,8)|(1,9)|(4,10)|(4,13)|
(1,8)|(7,8)|(1,9)|(2,9)|(4,9)|(4,12)|
(1,9)|(7,9)|(1,10)|(3,9)|(4,8)|(4,11)|
(1,10)|(7,10)|(1,11)|(4,9)|(4,7)|(4,10)|
(1,11)|(7,11)|(1,12)|(4,8)|(4,6)|(4,9)|
(1,12)|(7,12)|(1,13)|(4,7)|(4,5)|(4,8)|
(1,13)|(7,13)|(1,14)|(4,6)|(4,4)|(4,7)|
(1,14)|(7,14)|(1,15)|(4,5)|(4,3)|(4,6)|
(1,15)|(7,15)|(1,16)|(4,4)|(4,2)|(4,5)|
(1,16)|(7,16)|(1,17)|(4,3)|(4,1)|(4,4)|
(1,17)|(7,17)|(1,18)|(4,2)|(4,0)|(4,3)|
(1,18)|(6,17)|(2,18)|(4,1)|(4,0)|(4,2)|
(0,18)|(6,17)|(3,18)|(3,1)|(4,0)|(4,1)|
(0,18)|(6,17)|(4,18)|(3,0)|(4,0)|(5,1)|
(0,18)|(6,17)|(5,18)|(3,0)|(4,0)|(5,0)|
(0,18)|(6,17)|(6,18)|(3,0)|(4,0)|(5,0)|
