9x19_left2_right2,9,19,6,84,5,Time: 47.7469999999998 : 
(6,1)|(3,0)|(7,1)|(4,17)|(5,17)|(3,18)|
(7,1)|(3,1)|(7,2)|(4,16)|(4,17)|(3,17)|
(7,2)|(2,1)|(7,3)|(4,15)|(4,16)|(4,17)|
(7,3)|(1,1)|(7,4)|(4,14)|(4,15)|(4,16)|
(7,4)|(1,2)|(7,5)|(4,13)|(4,14)|(4,15)|
(7,5)|(1,3)|(7,6)|(4,12)|(4,13)|(4,14)|
(7,6)|(1,4)|(7,7)|(4,11)|(4,12)|(4,13)|
(7,7)|(1,5)|(7,8)|(4,10)|(4,11)|(4,12)|
(7,8)|(1,6)|(7,9)|(4,9)|(4,10)|(4,11)|
(7,9)|(1,7)|(7,10)|(4,8)|(4,9)|(4,10)|
(7,10)|(1,8)|(7,11)|(4,7)|(3,9)|(4,9)|
(7,11)|(1,9)|(7,12)|(4,6)|(2,9)|(4,8)|
(7,12)|(1,10)|(7,13)|(4,5)|(1,9)|(4,7)|
(7,13)|(1,11)|(7,14)|(4,4)|(1,8)|(4,6)|
(7,14)|(1,12)|(7,15)|(4,3)|(1,7)|(4,5)|
(7,15)|(1,13)|(7,16)|(4,2)|(1,6)|(4,4)|
(7,16)|(1,14)|(7,17)|(4,1)|(1,5)|(4,3)|
(7,17)|(1,15)|(6,17)|(3,1)|(1,4)|(4,2)|
(7,18)|(1,16)|(6,17)|(2,1)|(1,3)|(4,1)|
(6,18)|(1,17)|(6,17)|(1,1)|(1,2)|(5,1)|
(5,18)|(0,17)|(6,17)|(1,0)|(1,1)|(6,1)|
(5,18)|(0,17)|(6,17)|(1,0)|(0,1)|(6,1)|
