9x19_left2_right2,9,19,6,84,1,Time: 356.509 : 
(4,1)|(5,0)|(8,1)|(6,18)|(5,18)|(1,18)|
(4,2)|(5,1)|(7,1)|(6,17)|(4,18)|(1,17)|
(4,3)|(4,1)|(6,1)|(7,17)|(3,18)|(1,16)|
(4,4)|(4,2)|(5,1)|(7,16)|(2,18)|(1,15)|
(4,5)|(4,3)|(4,1)|(7,15)|(1,18)|(1,14)|
(4,6)|(4,4)|(4,2)|(7,14)|(1,17)|(1,13)|
(4,7)|(4,5)|(4,3)|(7,13)|(1,16)|(1,12)|
(4,8)|(4,6)|(4,4)|(7,12)|(1,15)|(1,11)|
(4,9)|(4,7)|(4,5)|(7,11)|(1,14)|(1,10)|
(4,10)|(4,8)|(4,6)|(7,10)|(1,13)|(1,9)|
(4,11)|(4,9)|(4,7)|(7,9)|(1,12)|(1,8)|
(4,12)|(4,10)|(4,8)|(7,8)|(1,11)|(1,7)|
(4,13)|(4,11)|(4,9)|(7,7)|(1,10)|(1,6)|
(4,14)|(4,12)|(4,10)|(7,6)|(1,9)|(1,5)|
(4,15)|(4,13)|(4,11)|(7,5)|(1,8)|(1,4)|
(4,16)|(4,14)|(4,12)|(7,4)|(1,7)|(1,3)|
(4,17)|(4,15)|(4,13)|(7,3)|(1,6)|(1,2)|
(4,17)|(4,16)|(4,14)|(7,2)|(1,5)|(1,1)|
(5,17)|(4,17)|(4,15)|(7,1)|(1,4)|(2,1)|
(5,17)|(4,18)|(4,16)|(7,0)|(1,3)|(3,1)|
(5,17)|(5,18)|(4,17)|(8,0)|(1,2)|(4,1)|
(4,17)|(6,18)|(3,17)|(8,0)|(1,1)|(4,1)|
(4,17)|(6,18)|(3,17)|(8,0)|(0,1)|(4,1)|
