9x19_left2_right2,9,19,6,84,26,Time: 252.594000000001 : 
(3,0)|(5,1)|(7,1)|(4,18)|(4,17)|(1,17)|
(3,1)|(4,1)|(7,2)|(4,17)|(4,16)|(1,16)|
(2,1)|(3,1)|(7,3)|(4,16)|(4,15)|(1,15)|
(1,1)|(2,1)|(7,4)|(4,15)|(4,14)|(1,14)|
(1,2)|(1,1)|(7,5)|(4,14)|(4,13)|(1,13)|
(1,3)|(1,2)|(7,6)|(4,13)|(4,12)|(1,12)|
(1,4)|(1,3)|(7,7)|(4,12)|(4,11)|(1,11)|
(1,5)|(1,4)|(7,8)|(4,11)|(4,10)|(1,10)|
(1,6)|(1,5)|(7,9)|(4,10)|(4,9)|(1,9)|
(1,7)|(1,6)|(7,10)|(4,9)|(4,8)|(1,8)|
(1,8)|(1,7)|(7,11)|(4,8)|(4,7)|(1,9)|
(1,9)|(1,8)|(7,12)|(4,7)|(4,6)|(0,9)|
(1,10)|(1,9)|(7,13)|(4,6)|(4,5)|(0,9)|
(1,11)|(1,10)|(7,14)|(4,5)|(4,4)|(1,9)|
(1,12)|(1,11)|(7,15)|(4,4)|(4,3)|(1,8)|
(1,13)|(1,12)|(7,16)|(4,3)|(4,2)|(1,7)|
(1,14)|(1,13)|(7,17)|(4,2)|(4,1)|(1,6)|
(1,15)|(1,14)|(7,18)|(4,1)|(3,1)|(1,5)|
(1,16)|(1,15)|(7,18)|(4,0)|(3,0)|(1,4)|
(1,17)|(1,16)|(7,18)|(4,0)|(3,0)|(1,3)|
(1,18)|(1,17)|(7,18)|(4,0)|(3,0)|(1,2)|
(0,18)|(2,17)|(7,18)|(4,0)|(3,0)|(1,1)|
(0,18)|(2,17)|(7,18)|(4,0)|(3,0)|(0,1)|
