9x19_left2_right2,9,19,6,84,22,Time: 24.3789999999999 : 
(3,1)|(6,1)|(1,0)|(6,18)|(3,17)|(3,18)|
(4,1)|(7,1)|(1,1)|(5,18)|(2,17)|(3,17)|
(4,2)|(7,2)|(1,2)|(4,18)|(1,17)|(4,17)|
(4,3)|(7,3)|(1,3)|(3,18)|(1,16)|(4,16)|
(4,4)|(7,4)|(1,4)|(2,18)|(1,15)|(4,15)|
(4,5)|(7,5)|(1,5)|(1,18)|(1,14)|(4,14)|
(4,6)|(7,6)|(1,6)|(1,17)|(1,13)|(4,13)|
(4,7)|(7,7)|(1,7)|(1,16)|(1,12)|(4,12)|
(4,8)|(7,8)|(1,8)|(1,15)|(1,11)|(4,11)|
(4,9)|(7,9)|(1,9)|(1,14)|(1,10)|(4,10)|
(3,9)|(7,10)|(2,9)|(1,13)|(1,9)|(4,9)|
(4,9)|(7,11)|(3,9)|(1,12)|(1,8)|(4,8)|
(4,10)|(7,12)|(4,9)|(1,11)|(1,7)|(4,7)|
(4,11)|(7,13)|(4,10)|(1,10)|(1,6)|(4,6)|
(4,12)|(7,14)|(4,11)|(1,9)|(1,5)|(4,5)|
(4,13)|(7,15)|(4,12)|(1,8)|(1,4)|(4,4)|
(4,14)|(7,16)|(4,13)|(1,7)|(1,3)|(4,3)|
(4,15)|(7,17)|(4,14)|(1,6)|(1,2)|(4,2)|
(4,16)|(6,17)|(4,15)|(1,5)|(1,1)|(4,1)|
(4,17)|(6,17)|(4,16)|(1,4)|(0,1)|(4,0)|
(4,18)|(6,17)|(4,17)|(1,3)|(0,0)|(5,0)|
(4,18)|(6,17)|(4,17)|(1,2)|(0,0)|(6,0)|
(4,18)|(6,17)|(4,17)|(1,1)|(0,0)|(6,0)|
(4,18)|(6,17)|(4,17)|(1,0)|(0,0)|(6,0)|
