9x19_left2_right2,9,19,2,84,0,Time: 193.329 : 
(8,0)|(7,17)|
(7,0)|(7,16)|
(6,0)|(7,15)|
(5,0)|(7,14)|
(4,0)|(7,13)|
(3,0)|(7,12)|
(2,0)|(7,11)|
(1,0)|(7,10)|
(1,1)|(7,9)|
(1,2)|(7,8)|
(1,3)|(7,7)|
(1,4)|(7,6)|
(1,5)|(7,5)|
(1,6)|(7,4)|
(1,7)|(7,3)|
(1,8)|(7,2)|
(1,9)|(7,1)|
(1,10)|(7,0)|
(1,11)|(7,0)|
(1,12)|(7,0)|
(1,13)|(7,0)|
(1,14)|(7,0)|
(1,15)|(7,0)|
(1,16)|(7,0)|
(1,17)|(7,0)|
(1,18)|(7,0)|



9x19_left2_right2,9,19,2,84,1,Time: 30.89 : 
(5,0)|(6,18)|
(5,1)|(7,18)|
(6,1)|(7,17)|
(7,1)|(7,16)|
(7,2)|(7,15)|
(7,3)|(7,14)|
(7,4)|(7,13)|
(7,5)|(7,12)|
(7,6)|(7,11)|
(7,7)|(7,10)|
(7,8)|(7,9)|
(7,9)|(6,9)|
(7,10)|(7,9)|
(7,11)|(7,8)|
(7,12)|(7,7)|
(7,13)|(7,6)|
(7,14)|(7,5)|
(7,15)|(7,4)|
(7,16)|(7,3)|
(7,17)|(7,2)|
(7,17)|(7,1)|
(7,17)|(6,1)|
(7,17)|(6,0)|



9x19_left2_right2,9,19,2,84,2,Time: 24.384 : 
(2,1)|(2,18)|
(3,1)|(3,18)|
(4,1)|(4,18)|
(4,2)|(5,18)|
(4,3)|(6,18)|
(4,4)|(7,18)|
(4,5)|(7,17)|
(4,6)|(7,16)|
(4,7)|(7,15)|
(4,8)|(7,14)|
(4,9)|(7,13)|
(4,10)|(7,12)|
(4,11)|(7,11)|
(4,12)|(7,10)|
(4,13)|(7,9)|
(4,14)|(7,8)|
(4,15)|(7,7)|
(4,16)|(7,6)|
(4,17)|(7,5)|
(4,18)|(7,4)|
(4,18)|(7,3)|
(4,18)|(7,2)|
(4,18)|(7,1)|
(4,18)|(7,0)|



9x19_left2_right2,9,19,2,84,3,Time: 24.718 : 
(4,1)|(8,18)|
(4,2)|(7,18)|
(4,3)|(6,18)|
(4,4)|(5,18)|
(4,5)|(4,18)|
(4,6)|(4,17)|
(4,7)|(4,16)|
(4,8)|(4,15)|
(4,9)|(4,14)|
(5,9)|(4,13)|
(6,9)|(4,12)|
(7,9)|(4,11)|
(7,10)|(4,10)|
(7,11)|(4,9)|
(7,12)|(4,8)|
(7,13)|(4,7)|
(7,14)|(4,6)|
(7,15)|(4,5)|
(7,16)|(4,4)|
(7,17)|(4,3)|
(7,17)|(4,2)|
(7,17)|(4,1)|
(7,17)|(3,1)|



9x19_left2_right2,9,19,2,84,4,Time: 9.53800000000001 : 
(8,1)|(4,17)|
(7,1)|(4,16)|
(7,2)|(4,15)|
(7,3)|(4,14)|
(7,4)|(4,13)|
(7,5)|(4,12)|
(7,6)|(4,11)|
(7,7)|(4,10)|
(7,8)|(4,9)|
(7,9)|(4,8)|
(7,10)|(4,7)|
(7,11)|(4,6)|
(7,12)|(4,5)|
(7,13)|(4,4)|
(7,14)|(4,3)|
(7,15)|(4,2)|
(7,16)|(4,1)|
(7,17)|(4,1)|
(6,17)|(4,1)|
(5,17)|(4,1)|



9x19_left2_right2,9,19,2,84,5,Time: 4.94499999999999 : 
(7,1)|(2,17)|
(7,2)|(3,17)|
(7,3)|(4,17)|
(7,4)|(4,16)|
(7,5)|(4,15)|
(7,6)|(4,14)|
(7,7)|(4,13)|
(7,8)|(4,12)|
(7,9)|(4,11)|
(7,10)|(4,10)|
(7,11)|(4,9)|
(7,12)|(4,8)|
(7,13)|(4,7)|
(7,14)|(4,6)|
(7,15)|(4,5)|
(7,16)|(4,4)|
(7,17)|(4,3)|
(7,18)|(4,2)|
(6,18)|(4,1)|
(6,18)|(4,0)|
